Angular Second Moment,Contrast,Correlation,Inverse Difference Moment,Entropy,Sum of all GLCM elements,Result
0.006,267.044,4.709E-4,0.451,6.369,1.000,homogeneous
0.010,292.866,2.499E-4,0.586,5.922,1.000,homogeneous
0.013,161.927,2.147E-4,0.611,5.598,1.000,homogeneous
0.007,275.822,3.991E-4,0.508,6.229,1.000,homogeneous
0.005,301.554,3.740E-4,0.480,6.390,1.000,homogeneous
0.012,318.733,2.989E-4,0.587,5.727,1.000,homogeneous
0.015,181.436,2.337E-4,0.652,5.395,1.000,homogeneous
0.004,298.046,4.199E-4,0.452,6.651,1.000,homogeneous
0.009,246.706,2.714E-4,0.578,6.136,1.000,homogeneous
0.017,137.313,2.285E-4,0.649,5.448,1.000,homogeneous
0.006,422.388,2.850E-4,0.487,6.370,1.000,homogeneous
0.011,320.903,2.644E-4,0.573,5.900,1.000,homogeneous
0.015,202.220,2.285E-4,0.623,5.435,1.000,homogeneous
0.002,127.084,6.283E-4,0.450,6.937,1.000,homogeneous
0.003,157.674,3.444E-4,0.534,6.692,1.000,homogeneous
0.011,288.099,2.589E-4,0.600,5.792,1.000,homogeneous
0.008,136.712,2.439E-4,0.551,6.267,1.000,homogeneous
0.003,107.609,5.973E-4,0.490,6.723,1.000,homogeneous
0.004,173.511,3.675E-4,0.505,6.591,1.000,homogeneous
0.007,58.206,3.490E-4,0.602,6.152,1.000,homogeneous
0.002,79.904,7.162E-4,0.483,6.856,1.000,homogeneous
0.002,91.015,4.328E-4,0.536,6.760,1.000,homogeneous
0.007,135.726,2.594E-4,0.558,6.206,1.000,homogeneous
0.002,55.159,8.201E-4,0.507,6.693,1.000,homogeneous
0.003,36.235,4.487E-4,0.547,6.620,1.000,homogeneous
0.007,31.953,3.208E-4,0.592,6.101,1.000,homogeneous
0.010,152.343,2.507E-4,0.596,5.853,1.000,homogeneous
0.001,91.790,9.112E-4,0.408,7.130,1.000,homogeneous
0.003,70.111,4.524E-4,0.537,6.736,1.000,homogeneous
0.010,109.936,2.775E-4,0.569,5.951,1.000,homogeneous
0.002,78.499,8.949E-4,0.420,6.975,1.000,homogeneous
0.003,109.564,3.762E-4,0.521,6.692,1.000,homogeneous
0.008,92.461,3.226E-4,0.579,6.152,1.000,homogeneous
0.002,66.848,8.179E-4,0.447,6.737,1.000,homogeneous
0.016,410.903,5.242E-4,0.539,4.981,1.000,homogeneous
9.462E-4,171.737,6.504E-4,0.344,7.441,1.000,heterogeneous
0.001,155.095,4.734E-4,0.384,7.290,1.000,heterogeneous
0.006,370.625,2.817E-4,0.515,6.321,1.000,homogeneous
0.002,282.971,4.312E-4,0.360,7.227,1.000,heterogeneous
0.001,117.547,7.538E-4,0.397,7.116,1.000,heterogeneous
0.002,257.274,4.005E-4,0.420,6.997,1.000,homogeneous
0.001,124.089,0.001,0.388,6.998,1.000,homogeneous
0.002,355.346,3.662E-4,0.333,6.964,1.000,homogeneous
0.003,278.818,4.112E-4,0.461,6.795,1.000,homogeneous
0.002,149.019,4.958E-4,0.478,6.939,1.000,heterogeneous
0.002,97.103,9.342E-4,0.431,6.905,1.000,homogeneous
0.003,78.570,3.158E-4,0.486,6.733,1.000,homogeneous
0.008,202.890,3.535E-4,0.386,7.145,1.000,homogeneous
0.011,284.451,3.080E-4,0.600,5.766,1.000,homogeneous
0.002,54.865,3.037E-4,0.403,7.031,1.000,heterogeneous
0.009,109.644,4.360E-4,0.632,5.609,1.000,homogeneous
0.008,96.409,4.653E-4,0.620,5.646,1.000,homogeneous
0.008,91.005,6.860E-4,0.627,5.641,1.000,homogeneous
0.009,77.412,4.490E-4,0.608,5.566,1.000,homogeneous
0.006,155.680,4.385E-4,0.541,6.280,1.000,homogeneous
0.007,127.876,4.685E-4,0.575,5.889,1.000,homogeneous
0.005,174.416,3.705E-4,0.583,6.249,1.000,homogeneous
0.006,150.531,3.301E-4,0.565,6.206,1.000,homogeneous
0.010,100.221,3.518E-4,0.593,5.544,1.000,homogeneous
0.014,184.908,2.268E-4,0.630,5.432,1.000,homogeneous
0.010,112.761,3.492E-4,0.591,5.935,1.000,homogeneous
6.201E-4,148.258,4.607E-4,0.256,8.080,1.000,heterogeneous
0.011,88.002,1.265E-4,0.435,6.296,1.000,homogeneous
0.001,128.164,4.112E-4,0.362,7.376,1.000,homogeneous
0.001,153.422,3.335E-4,0.337,7.841,1.000,heterogeneous
0.003,133.805,1.722E-4,0.418,6.933,1.000,homogeneous
8.345E-4,137.364,4.146E-4,0.297,7.890,1.000,heterogeneous
0.003,253.267,3.334E-4,0.407,7.263,1.000,heterogeneous
0.001,205.586,3.575E-4,0.316,7.811,1.000,heterogeneous
0.005,157.831,1.242E-4,0.417,6.961,1.000,homogeneous
0.004,266.047,4.018E-4,0.513,6.442,1.000,homogeneous
9.796E-4,133.709,3.691E-4,0.391,7.572,1.000,homogeneous
0.001,136.449,4.010E-4,0.363,7.431,1.000,homogeneous
0.019,82.585,1.411E-4,0.472,6.166,1.000,homogeneous
0.001,353.246,2.906E-4,0.291,7.973,1.000,homogeneous
0.001,160.048,3.279E-4,0.364,7.743,1.000,heterogeneous
9.555E-4,155.494,4.596E-4,0.342,7.840,1.000,heterogeneous
0.001,166.354,2.550E-4,0.354,7.786,1.000,heterogeneous
9.218E-4,434.912,2.257E-4,0.266,7.890,1.000,homogeneous
0.003,299.827,3.716E-4,0.486,6.916,1.000,homogeneous
0.001,365.556,2.443E-4,0.296,7.741,1.000,homogeneous
0.011,250.190,2.637E-4,0.618,5.758,1.000,homogeneous
0.004,292.633,1.092E-4,0.425,7.121,1.000,homogeneous
0.001,178.533,5.127E-4,0.330,7.564,1.000,homogeneous
0.002,330.523,3.563E-4,0.456,7.060,1.000,homogeneous
0.002,308.570,2.854E-4,0.405,7.372,1.000,homogeneous
0.001,409.952,1.938E-4,0.257,7.890,1.000,homogeneous
0.003,177.161,3.768E-4,0.348,7.638,1.000,heterogeneous
9.002E-4,364.419,2.372E-4,0.278,7.962,1.000,homogeneous
9.480E-4,504.608,3.014E-4,0.213,8.042,1.000,homogeneous
0.005,110.799,1.653E-4,0.437,6.924,1.000,homogeneous
8.555E-4,84.538,6.156E-4,0.345,7.596,1.000,homogeneous
0.014,177.231,2.261E-4,0.613,5.598,1.000,homogeneous
